"","hosts","hostclean","group"
"461","Monoporeia affinis","Monoporeia affinis",NA
"462","Myoxocephalus quadricornis","Myoxocephalus quadricornis",NA
"463","Myoxocephalus scorpius","Myoxocephalus scorpius",NA
"464","Zalophus californianus","Zalophus californianus",NA
"465","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides",NA
"466","Clupea harengus","Clupea harengus",NA
"467","Ctenolabrus rupestris","Ctenolabrus rupestris",NA
"468","Phoca vitulina","Phoca vitulina",NA
"469","Pseudopleuronectes americanus","Pseudopleuronectes americanus",NA
"470","Zoarces viviparus","Zoarces viviparus",NA
"471","Hydrurga leptonyx","Hydrurga leptonyx",NA
"472","Alosa brashnikovi","Alosa brashnikovi",NA
"473","Benthophilus stellatus","Benthophilus stellatus",NA
"474","Erignathus barbatus","Erignathus barbatus",NA
"475","Gobius fluviatilis","Gobius fluviatilis",NA
"476","Hoplobrotula gnathopus","Hoplobrotula gnathopus",NA
"477","Huso huso","Huso huso",NA
"478","Lophius piscatorius","Lophius piscatorius",NA
"479","Melanogrammus aeglefinus","Melanogrammus aeglefinus",NA
"480","Merluccius capensis","Merluccius capensis",NA
"481","Mugil auratus","Mugil auratus",NA
"482","Mugil saliens","Mugil saliens",NA
"483","Neogobius kessleri","Neogobius kessleri",NA
"484","Pagrus pagrus","Pagrus pagrus",NA
"485","Sebastes mentella","Sebastes mentella",NA
"486","Sparus heterodus","Sparus heterodus",NA
"487","Trachurus trachurus","Trachurus trachurus",NA
"488","Trigla capensis","Trigla capensis",NA
"489","Ammodytes dubius","Ammodytes dubius",NA
"490","Hemitripterus americanus","Hemitripterus americanus",NA
"491","Hippoglossoides platessoides","Hippoglossoides platessoides",NA
"492","Macrozoarces americanus","Macrozoarces americanus",NA
"493","Mallotus villosus","Mallotus villosus",NA
"494","Osmerus mordax","Osmerus mordax",NA
"495","Phoca fasciata","Phoca fasciata",NA
"496","Phoca richardi","Phoca richardi",NA
"497","Pleuronectes americanus","Pleuronectes americanus",NA
"498","Pleuronectes ferrugineus","Pleuronectes ferrugineus",NA
"499","Scophthalmus aquosus","Scophthalmus aquosus",NA
"500","Pomadasys crocro","Pomadasys crocro",NA
"501","Acipenser oxyrhynchus","Acipenser oxyrhynchus",NA
"502","Bairdiella chrysura","Bairdiella chrysura",NA
"503","Corophium lacustra","Corophium lacustra",NA
"504","Cynoscion arenarius","Cynoscion arenarius",NA
"505","Cynoscion nebulosus","Cynoscion nebulosus",NA
"506","Cynoscion regalis","Cynoscion regalis",NA
"507","Eucinostomus argenteus","Eucinostomus argenteus",NA
"508","Grandidierella bonnieroides","Grandidierella bonnieroides",NA
"509","Haemulon steindachneri","Haemulon steindachneri",NA
"510","Larimus fasciatus","Larimus fasciatus",NA
"511","Leiostomus xanthurus","Leiostomus xanthurus",NA
"512","Lobotes surinamensis","Lobotes surinamensis",NA
"513","Micropogonias undulatus","Micropogonias undulatus",NA
"514","Morone americana","Morone americana",NA
"515","Morone saxatilis","Morone saxatilis",NA
"516","Orthopristis chrysoptera","Orthopristis chrysoptera",NA
"517","Orthopristis ruber","Orthopristis ruber",NA
"518","Paralichthys dentatus","Paralichthys dentatus",NA
"519","Polydactylus octonemus","Polydactylus octonemus",NA
"520","Tylosurus acus","Tylosurus acus",NA
