"","Parasite","genus","year","hs","first"
"102565","Brachydistomum olssoni","Brachydistomum",1900,1,"not the first"
"102570","Brachylaima arcuatus","Brachylaima",1845,5,"not the first"
"102580","Brachylecithum strigosum","Brachylecithum",1899,1,"not the first"
"102581","Brachylecithum transversogenitalis","Brachylecithum",1927,0,"not the first"
"102616","Catatropis pacifer","Catatropis",1933,2,"not the first"
"102622","Cercaria echinoparyphii","Cercaria",1963,3,"not the first"
"102625","Cercaria helvetica","Cercaria",1928,3,"not the first"
"102626","Cercaria helvetica","Cercaria",1929,3,"not the first"
"102631","Chaunocephalus ferox","Chaunocephalus",1795,3,"first"
"102640","Clinostomum phalacrocoracis","Clinostomum",1930,3,"not the first"
"102643","Collyriclum faba","Collyriclum",1831,11,"exclude"
"102658","Cotylurus erraticus","Cotylurus",1809,6,"not the first"
"102660","Cotylurus hebraicus","Cotylurus",1934,4,"not the first"
"102661","Cotylurus pileatus","Cotylurus",1802,9,"first"
"102663","Cotylurus platycephalus","Cotylurus",1825,8,"not the first"
"102664","Cotylurus strigeoides","Cotylurus",NA,3,"not the first"
"102692","Cyathocotyle opaca","Cyathocotyle",1934,3,"not the first"
"102697","Cyclocoelum microstomum","Cyclocoelum",1829,4,"not the first"
"102741","Diplostomulum clavatum","Diplostomulum",1832,2,"first"
"102748","Diplostomum gavium","Diplostomum",1922,3,"not the first"
"102750","Diplostomum indistinctum","Diplostomum",1923,1,"not the first"
"102752","Diplostomum paracaudum","Diplostomum",1959,8,"not the first"
"102753","Diplostomum parviventosum","Diplostomum",1932,11,"not the first"
"102754","Diplostomum puntingi","Diplostomum",1965,1,"not the first"
"102755","Diplostomum sudarikovi","Diplostomum",NA,1,"not the first"
"102758","Distomum lanceolatum","Distomum",NA,1,"not the first"
"102760","Echinochasmus bagulai","Echinochasmus",1935,7,"not the first"
"102764","Echinochasmus colymbi","Echinochasmus",1959,1,"not the first"
"102766","Echinochasmus euryporus","Echinochasmus",1896,5,"not the first"
"102767","Echinochasmus bursicola","Echinochasmus",1837,6,"first"
"102775","Echinoparyphium paracinctum","Echinoparyphium",1953,0,"not the first"
"102795","Echinoparyphium sinorchis","Echinoparyphium",1956,2,"not the first"
