"Parasite.species","Parasite.genus","Parasite.group","Host.species","Host.no","Stage","Egg.hatch","Development.time","Temp","Development.remarks","Length","Width","Max.length","Max.width","n","Size.reported.as","Shape","Asexual","Sex","Size.remarks","Author","Year","Journal","Volume","Pages"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Anguilla anguilla",2,"adult",NA,NA,NA,NA,9.1,0.7,NA,NA,15,"avg","cylinder",NA,"f",NA,"Dezfuli et al.","2012","Parasitol. Res.","110","2137-2143"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.09,0.018,0.102,0.021,NA,"avg","ellipsoid",NA,NA,NA,"Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan",NA,1,"1larv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,2.8,0.7,4.2,1,NA,"avg","cylinder",NA,"m",NA,"Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,7.6,0.9,11.1,1.4,NA,"avg","cylinder",NA,"f",NA,"Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.09,0.019,NA,NA,NA,"avg","ellipsoid",NA,NA,NA,"Semenas and Trejo","1997","Syst. Parasitol.","36","13-16"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,0.056,0.015,NA,NA,NA,"fig","ellipsoid",NA,NA,NA,"Semenas and Trejo","1997","Syst. Parasitol.","36","13-16"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Hyalella patagonica",1,"1larv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gives mean volume (0.268 mm3, n=362)","Rauque and Semenas","2011","J. Parasitol.","97","999-1002"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Galaxias maculatus",2,"adult",NA,NA,NA,NA,2.79,NA,NA,NA,NA,"avg","cylinder",NA,"m","avg of table 1 and 2","Rauque et al.","2002","Folia Parasitol.","49","127-130"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Galaxias maculatus",2,"adult",NA,NA,NA,NA,3.865,NA,NA,NA,NA,"avg","cylinder",NA,"f","avg of table 1 and 2","Rauque et al.","2002","Folia Parasitol.","49","127-130"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Oncorhynchus mykiss",2,"adult",NA,NA,NA,NA,3.3465,NA,NA,NA,NA,"avg","cylinder",NA,"m","avg after 4 weeks from table 1 and 2","Rauque et al.","2002","Folia Parasitol.","49","127-130"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Oncorhynchus mykiss",2,"adult",NA,NA,NA,NA,4.67,NA,NA,NA,NA,"avg","cylinder",NA,"f","avg after 4 weeks from table 1 and 2","Rauque et al.","2002","Folia Parasitol.","49","127-130"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Galaxias maculatus",2,"adult",NA,NA,NA,NA,2.84,0.625,NA,NA,36,"avg","cylinder",NA,"m","min and max width averaged","Semenas and Trejo","1997","Syst. Parasitol.","36","13-16"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Galaxias maculatus",2,"adult",NA,NA,NA,NA,3.91,0.775,NA,NA,40,"avg","cylinder",NA,"f",NA,"Semenas and Trejo","1997","Syst. Parasitol.","36","13-16"
"Acanthocirrus retrirostris","Acanthocirrus","cestode",NA,0,"egg","eaten",NA,NA,"presumably they are eaten by barnacle first host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocirrus retrirostris","Acanthocirrus","cestode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocirrus retrirostris","Acanthocirrus","cestode",NA,1,"1larv",NA,NA,NA,NA,0.47,0.4,NA,NA,16,"avg","sphere",NA,NA,NA,"Williams et al.","1981","Parasitol. Res.","66","155-162"
"Acanthocirrus retrirostris","Acanthocirrus","cestode",NA,2,"adult",NA,NA,NA,NA,20,0.7,NA,NA,NA,"point","ribbon",NA,NA,NA,"Joyeux and Baer","1936","Faune de France, Cestodes",NA,NA
"Acanthogyrus (Acanthosentis) lizae","Acanthogyrus","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,0.073,0.026,0.075,0.027,NA,"avg","ellipsoid",NA,NA,NA,"Orecchia et al.","1988","Bull. Mus. Natn. Hist. Nat. Paris","10","529-534"
"Acanthogyrus (Acanthosentis) lizae","Acanthogyrus","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthogyrus (Acanthosentis) lizae","Acanthogyrus","acanthocephalan","Halectinosoma herdmani",1,"1larv",NA,NA,NA,NA,0.59,0.091,NA,NA,NA,"fig","cylinder",NA,NA,NA,"Huys and Bodin","1997","Ophelia","46","217-231"
"Acanthogyrus (Acanthosentis) lizae","Acanthogyrus","acanthocephalan","Liza aurata",2,"adult",NA,NA,NA,NA,17.7,0.91,21.8,1.34,9,"avg","cylinder",NA,"m",NA,"Orecchia et al.","1988","Bull. Mus. Natn. Hist. Nat. Paris","10","529-534"
"Acanthogyrus (Acanthosentis) lizae","Acanthogyrus","acanthocephalan","Liza aurata",2,"adult",NA,NA,NA,NA,42.65,1.12,43.5,1.15,4,"avg","cylinder",NA,"f",NA,"Orecchia et al.","1988","Bull. Mus. Natn. Hist. Nat. Paris","10","529-534"
"Acanthosentis dattai","Acanthosentis","acanthocephalan",NA,0,"egg","eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthosentis dattai","Acanthosentis","acanthocephalan",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthosentis dattai","Acanthosentis","acanthocephalan","Mesocyclops leuckarti",1,"1larv",NA,NA,NA,NA,0.53,0.070666667,NA,0.11,NA,"point","cylinder",NA,NA,NA,"Sharma and Wattal","1976","Folia Parasitol.","23","169-173"
"Acanthosentis dattai","Acanthosentis","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,2.34,0.33,3.34,0.42,NA,"range","cylinder",NA,"m",NA,"Podder","1938","Parasitology","30","171-175"
"Acanthosentis dattai","Acanthosentis","acanthocephalan",NA,2,"adult",NA,NA,NA,NA,5.565,0.67,9.46,0.9,NA,"range","cylinder",NA,"f",NA,"Podder","1938","Parasitology","30","171-175"
"Acuaria anthuris","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0425,0.0285,0.044,0.029,NA,"range","ellipsoid",NA,NA,NA,"Quentin et al.","1972","Z. Parasitenk.","39","103-126"
"Acuaria anthuris","Acuaria","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acuaria anthuris","Acuaria","nematode","Locusta migratoria",1,"1larv",NA,13,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quentin et al.","1972","Z. Parasitenk.","39","103-126"
"Acuaria anthuris","Acuaria","nematode","Locusta migratoria",1,"1larv",NA,9,26.5,"on day 9 they are starting to molt, by next time point (15 days) they are J3",0.68,0.043,0.86,0.05,NA,"point","thread-like",NA,NA,"mean is at 9 dpe, max is 15 dpe","Quentin et al.","1972","Z. Parasitenk.","39","103-126"
"Acuaria anthuris","Acuaria","nematode",NA,2,"adult",NA,NA,NA,NA,NA,NA,12,NA,NA,"point","thread-like",NA,"m",NA,"Chabaud and Petter","1961","Ann. Parasitol. Hum. Comp.","36","409-424"
"Acuaria depressa","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.043,0.027,0.045,0.029,NA,"range","ellipsoid",NA,NA,"cites Williams 1929;  as A.anthuris which Quentin et al. 1972 considered A.depressa","Mutafchiev et al.","2012","Syst. Parasitol.","81","51-64"
"Acuaria depressa","Acuaria","nematode",NA,0,"embryo",NA,NA,NA,"free L1",0.26,NA,0.275,NA,NA,"range","thread-like",NA,NA,"as A.anthuris which Quentin et al. 1972 considered A.depressa; stated that this was measured 'in egg' but presumably it was removed from egg to measure","Rietschel","1973","Z. Parasitenk.","42","243-250"
"Acuaria depressa","Acuaria","nematode","Melanoplus femurrubrum",1,"1larv",NA,29,NA,NA,1.3,NA,1.4,NA,NA,"range","thread-like",NA,NA,"as A.anthuris which Quentin et al. 1972 considered A.depressa","Cram","1934","Proc. Helminthol. Soc. Wash.","1","48-49"
"Acuaria depressa","Acuaria","nematode","Locusta migratoria",1,"1larv",NA,8.5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"as A.anthuris which Quentin et al. 1972 considered A.depressa","Rietschel","1973","Z. Parasitenk.","42","243-250"
"Acuaria depressa","Acuaria","nematode","Chorthippus longicornis",1,"1larv",NA,21,20,"feeding crows with these 21 day old larva was unsuccessful",1,NA,NA,NA,NA,"point","thread-like",NA,NA,"as A.anthuris which Quentin et al. 1972 considered A.depressa","Rietschel","1973","Z. Parasitenk.","42","243-250"
"Acuaria depressa","Acuaria","nematode","Corvus brachyrhynchos",2,"adult",NA,NA,NA,NA,9.1,0.293,10.4,0.312,NA,"avg","thread-like",NA,"m","cites Williams 1929;  as A.anthuris which Quentin et al. 1972 considered A.depressa","Mutafchiev et al.","2012","Syst. Parasitol.","81","51-64"
"Acuaria depressa","Acuaria","nematode","Corvus brachyrhynchos",2,"adult",NA,NA,NA,NA,19.1,0.462,20.3,0.556,NA,"avg","thread-like",NA,"f","cites Williams 1929;  as A.anthuris which Quentin et al. 1972 considered A.depressa","Mutafchiev et al.","2012","Syst. Parasitol.","81","51-64"
"Acuaria depressa","Acuaria","nematode","Corvus corone",2,"adult",NA,55,40.5,"when crows fed older larvae (44 days old) they excrete eggs sooner (48 vs 62 dpe) than when fed younger larvae (8-9 days old)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rietschel","1973","Z. Parasitenk.","42","243-250"
"Acuaria gruveli","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.037,0.025,NA,NA,NA,"point","ellipsoid",NA,NA,NA,"Quentin and Seureau","1983","Ann. Parasitol. Hum. Comp.","58","43-56"
"Acuaria gruveli","Acuaria","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acuaria gruveli","Acuaria","nematode","Tylotropidius patagiatus",1,"1larv",NA,9.5,30,NA,0.575,0.037,0.61,0.044,NA,"range","thread-like",NA,NA,NA,"Quentin and Seureau","1983","Ann. Parasitol. Hum. Comp.","58","43-56"
"Acuaria gruveli","Acuaria","nematode","Francolinus bicalcaratus",2,"adult",NA,NA,NA,NA,12.5,0.16,13,0.2,NA,"range","thread-like",NA,"m",NA,"Quentin and Seureau","1983","Ann. Parasitol. Hum. Comp.","58","43-56"
"Acuaria gruveli","Acuaria","nematode","Francolinus bicalcaratus",2,"adult",NA,NA,NA,NA,29,0.22,NA,NA,NA,"point","thread-like",NA,"f",NA,"Quentin and Seureau","1983","Ann. Parasitol. Hum. Comp.","58","43-56"
"Acuaria hamulosa","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.043,0.027,0.045,NA,NA,"range","ellipsoid",NA,NA,NA,"Alicata","1938","In: Livro jubilar do professor Lauro Travassos",NA,"11-19"
"Acuaria hamulosa","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.032,0.0195,0.0325,0.021,NA,"range","ellipsoid",NA,NA,NA,"Bhalerao and Rao","1944","Proc. Plant Sci.","20","30-39"
"Acuaria hamulosa","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.04,0.027,NA,NA,NA,"point","ellipsoid",NA,NA,NA,"Cram","1931","US Dept. Agric. Tech. Bull.","227","1-27"
"Acuaria hamulosa","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.036,0.022,0.04,0.025,NA,"avg","ellipsoid",NA,NA,NA,"Gomes et al.","2004","Parasitol. Res.","92","225-231"
"Acuaria hamulosa","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.042,0.0225,0.045,0.025,NA,"range","ellipsoid",NA,NA,NA,"Li","1934","Trans. Am. Microsc. Soc.","53","174-195"
"Acuaria hamulosa","Acuaria","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acuaria hamulosa","Acuaria","nematode",NA,1,"1larv",NA,19,NA,NA,0.697,0.0486,0.705,0.049,5,"avg","thread-like",NA,NA,"from table 3","Alicata","1938","In: Livro jubilar do professor Lauro Travassos",NA,"11-19"
"Acuaria hamulosa","Acuaria","nematode",NA,1,"1larv",NA,22,NA,"first time that they successfully infected chickens; not stated if earlier attempts at infection were made",0.7,0.047,NA,0.05,NA,"point","thread-like",NA,NA,NA,"Cram","1931","US Dept. Agric. Tech. Bull.","227","1-27"
"Acuaria hamulosa","Acuaria","nematode",NA,1,"1larv",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"just CAB abstract","Dotsenko","1953","Dokl. Akad. Nauk SSSR","88","583-584"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,NA,NA,NA,12,NA,14,NA,NA,"range","thread-like",NA,"m",NA,"Alicata","1938","In: Livro jubilar do professor Lauro Travassos",NA,"11-19"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,90,40.5,"females at 90 dpi in were smaller than the more general size data given (gravid at ~14 mm)",21.5,NA,29,NA,NA,"range","thread-like",NA,"f",NA,"Alicata","1938","In: Livro jubilar do professor Lauro Travassos",NA,"11-19"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,NA,NA,NA,9.325,0.285,9.4,0.29,NA,"range","thread-like",NA,"m",NA,"Bhalerao and Rao","1944","Proc. Plant Sci.","20","30-39"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,NA,NA,NA,13.15,0.39,NA,NA,NA,"point","thread-like",NA,"f",NA,"Bhalerao and Rao","1944","Proc. Plant Sci.","20","30-39"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,NA,NA,NA,11,0.31,13,0.32,NA,"range","thread-like",NA,"m",NA,"Cram","1931","US Dept. Agric. Tech. Bull.","227","1-27"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,76,40.5,"were difficult to find between 25 and 76 days because the worms burrow into the gizzard wall, so it's possible they mature earlier",18.5,0.5125,22,0.625,NA,"range","thread-like",NA,"f",NA,"Cram","1931","US Dept. Agric. Tech. Bull.","227","1-27"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,NA,NA,NA,7.125,NA,11,NA,NA,"range","thread-like",NA,NA,"immature; recovered 52 dpe","Cuvillier","1934","Proc. Helminthol. Soc. Wash.","1","14-15"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,120,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"just CAB abstract","Dotsenko","1953","Dokl. Akad. Nauk SSSR","88","583-584"
"Acuaria hamulosa","Acuaria","nematode",NA,2,"adult",NA,NA,NA,NA,9.54,0.28,10.2,0.31,6,"avg","thread-like",NA,"m",NA,"Gomes et al.","2004","Parasitol. Res.","92","225-231"
"Acuaria hamulosa","Acuaria","nematode",NA,2,"adult",NA,NA,NA,NA,15.36,0.4,23.09,0.54,6,"avg","thread-like",NA,"f",NA,"Gomes et al.","2004","Parasitol. Res.","92","225-231"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,NA,NA,NA,11.875,0.3,15.1,0.36,3,"range","thread-like",NA,"m",NA,"Li","1934","Trans. Am. Microsc. Soc.","53","174-195"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,NA,NA,NA,23.3,0.62,NA,NA,1,"point","thread-like",NA,"f",NA,"Li","1934","Trans. Am. Microsc. Soc.","53","174-195"
"Acuaria hamulosa","Acuaria","nematode","Gallus gallus",2,"adult",NA,90.5,40.5,"85 to 96 dpi eggs were recovered in feces",NA,NA,NA,NA,NA,NA,NA,NA,NA,"just CAB abstract","Refuerzo","1940","Nat. Appl. Sci. Bull. Univ. Philipp.","7","407-414"
"Acuaria subula","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.032,0.02,0.035,0.022,NA,"range","ellipsoid",NA,NA,NA,"Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0385,0.024,0.048,0.029,NA,"range","ellipsoid",NA,NA,"cites Kurashvii","Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.038,NA,NA,NA,NA,"point","ellipsoid",NA,NA,"cites Dujardin 1845","Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.036,0.0225,0.037,0.024,NA,"range","ellipsoid",NA,NA,NA,"Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.036,0.026,NA,0.028,NA,"point","ellipsoid",NA,NA,"cites Jogis 1971","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.034,0.021,0.048,0.023,NA,"range","ellipsoid",NA,NA,"cites Okulewicz 1982","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.039,0.024,0.04,NA,NA,"range","ellipsoid",NA,NA,"cites Smogorzhevskaya 1990","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acuaria subula","Acuaria","nematode","Schistocerca gregaria",1,"1larv",NA,11,30,"not clear that grasshoppers were dissected before 11 dpe",0.7,0.0155,NA,NA,NA,"point","thread-like",NA,NA,"width taken from figure 3","Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode","Passer domesticus",2,"adult",NA,NA,NA,NA,8.4,0.16,9.8,0.18,NA,"range","thread-like",NA,"m",NA,"Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode","Passer domesticus",2,"adult",NA,NA,NA,NA,20,0.17,24,NA,NA,"range","thread-like",NA,"f",NA,"Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode",NA,2,"adult",NA,NA,NA,NA,6.3,0.14,9.2,0.19,NA,"range","thread-like",NA,"m","cites Kurashvii","Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode",NA,2,"adult",NA,NA,NA,NA,21.25,0.2085,27,0.29,NA,"range","thread-like",NA,"f","cites Kurashvii","Baron","1967","J. Nat. Hist.","4","465-472"
"Acuaria subula","Acuaria","nematode","Erithacus rubecula",2,"adult",NA,NA,NA,NA,4.2,0.11,NA,NA,1,"point","thread-like",NA,"m",NA,"Chabaud and Petter","1961","Ann. Parasitol. Hum. Comp.","36","409-424"
"Acuaria subula","Acuaria","nematode","Erithacus rubecula",2,"adult",NA,NA,NA,NA,4.9,0.12,NA,NA,1,"point","thread-like",NA,"m","cites Gendre 1913","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode","Erithacus rubecula",2,"adult",NA,NA,NA,NA,7,0.167,NA,NA,1,"point","thread-like",NA,"m","cites Dujardin 1845","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode","Erithacus rubecula",2,"adult",NA,NA,NA,NA,18,0.29,NA,NA,1,"point","thread-like",NA,"f","cites Dujardin 1845","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode","Erithacus rubecula",2,"adult",NA,NA,NA,NA,4.65,0.15,5.6,0.16,2,"avg","thread-like",NA,"m",NA,"Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode","Erithacus rubecula",2,"adult",NA,NA,NA,NA,11.9,0.268,15.2,0.335,8,"range","thread-like",NA,"f",NA,"Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode",NA,2,"adult",NA,NA,NA,NA,3.9,0.135,4,0.15,2,"avg","thread-like",NA,"m","cites Jogis 1971","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode",NA,2,"adult",NA,NA,NA,NA,10,0.33,NA,NA,1,"point","thread-like",NA,"f","cites Jogis 1971","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode","Hippolais icterina",2,"adult",NA,NA,NA,NA,4.2,0.086,NA,NA,2,"point","thread-like",NA,"m","cites Okulewicz 1982","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode","Ficedula hypoleuca",2,"adult",NA,NA,NA,NA,9.2,0.21,NA,NA,1,"point","thread-like",NA,"f","cites Okulewicz 1982","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Acuaria subula","Acuaria","nematode","Erithacus rubecula",2,"adult",NA,NA,NA,NA,16,0.249,18,0.266,1,"point","thread-like",NA,"f","cites Smogorzhevskaya 1990","Mutafchiev et al.","2013","Acta Parasitol.","58","284-296"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode",NA,0,"egg","hatch, penetrate",NA,NA,NA,0.09,0.0815,0.099,0.091,NA,"avg","ellipsoid",NA,NA,NA,"Gerichter","1949","Parasitology","39","251-262"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode",NA,0,"egg","hatch, penetrate",NA,NA,NA,0.075,0.06,0.084,0.066,NA,"avg","ellipsoid",NA,NA,NA,"Mackerras","1957","Aust. J. Zool.","5","188-195"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode",NA,0,"free larva",NA,NA,NA,"free L1",0.3991,0.0185,NA,NA,40,"avg","thread-like",NA,NA,NA,"Brianti et al.","2012","Parasit. Vec.","5","178"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode",NA,0,"free larva",NA,NA,NA,"free L1",0.375,0.0185,0.39,0.019,NA,"range","thread-like",NA,NA,NA,"Gerichter","1949","Parasitology","39","251-262"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode",NA,0,"free larva",NA,NA,NA,"free L1",0.38,0.019,0.4,0.02,NA,"range","thread-like",NA,NA,NA,"Mackerras","1957","Aust. J. Zool.","5","188-195"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode","Biomphalaria glabrata",1,"1larv",NA,NA,NA,NA,0.519,0.029,0.568,0.034,35,"avg","thread-like",NA,NA,NA,"Ash","1970","J. Parasitol.","56","249-253"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode","Helix aspersa",1,"1larv",NA,21,23.9,"temp varied from 19 to 30 C; 21 days was when first L3 observed; all larvae were L3 by d58",0.5867,NA,0.67,NA,NA,"avg","thread-like",NA,NA,NA,"Cesare et al.","2013","Parasitol. Res.","112","3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode","Helix aspersa",1,"1larv",NA,37,11.4,"temp varied from 7 to 22 C; 37 days was a minimum day that first L3 observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cesare et al.","2013","Parasitol. Res.","112","3101-3108"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode",NA,1,"1larv",NA,18,30,"under 8 C it did not develop at all",0.535,NA,0.55,NA,NA,"range","thread-like",NA,NA,NA,"Gerichter","1949","Parasitology","39","251-262"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode","Helix aspersa",1,"1larv",NA,11,20,NA,0.5389,0.0267,NA,NA,NA,"avg","thread-like",NA,NA,NA,"Giannelli et al.","2014","Parasitology","141","563-569"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode",NA,1,"1larv",NA,31.5,NA,"second molt occurs 4 to 5 weeks pi",0.485,0.027,0.52,0.028,NA,"range","thread-like",NA,NA,NA,"Hobmaier and Hobmaier","1935","Exp. Biol. Med.","32","1641-1647"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode","Cernuella virgata",1,"1larv",NA,18,20,NA,0.608,NA,NA,NA,30,"avg","thread-like",NA,NA,NA,"Lopez et al.","2005","Parasitol. Res.","95","13-16"
"Aelurostrongylus abstrusus","Aelurostrongylus","nematode","Agriolimax laevis",1,"1larv",NA,9,27.5,"wide temperature range (22 to 33 C)",0.525,0.03,0.53,NA,NA,"range","thread-like",NA,NA,NA,"Mackerras","1957","Aust. J. Zool.","5","188-195"
