"","nameparse","yearone","hosts"
"9732","Plagiorchis javensis",1939,1
"9733","Plagiorchis laricola",1964,41
"9734","Plagiorchis lima",1897,1
"9735","Plagiorchis luehei",1934,1
"9736","Plagiorchis maculosus",1957,93
"9737","Plagiorchis magniovatus",1939,NA
"9738","Plagiorchis micracanthos",1930,9
"9739","Plagiorchis microcanthos",1958,1
"9740","Plagiorchis miracanthos",1935,NA
"9741","Plagiorchis morosovi",1996,2
"9742","Plagiorchis multiglandularis",1955,34
"9743","Plagiorchis muris",1935,45
"9744","Plagiorchis proximus",1916,11
"9745","Plagiorchis sp.",1924,3
"9746","Plagiorchis taiwanensis",1966,1
"9747","Plagiorchis vitellatus",1924,4
"9748","Plagiorhynchus (Prosthorhynchus)",1866,NA
"9749","Plagiorhynchus charadrii",1993,20
"9750","Plagiorhynchus cylindraceus",2003,80
"9751","Plagiorhynchus formosus",1895,NA
"9752","Plagiorhynchus rectus",1891,NA
"9753","Plagiorhynchus sp.",1927,3
"9754","Plagiporus crassigula",1992,NA
"9755","Plagiporus sinitsini",1982,NA
"9756","Plagitura intermedia",1956,NA
"9757","Plagitura salamandra",1927,5
"9758","Planaria sp.",1906,NA
"9759","Platocystis sp.",1964,NA
"9760","Platt sinuosus",2015,NA
"9761","Platt snyderi",2015,NA
"9762","Platybothrium angelbahiense",1993,1
"9763","Platybothrium auriculatum",1948,1
"9764","Platybothrium cervinum",1912,3
"9765","Platybothrium coshtapum",1996,NA
"9766","Platybothrium hypoprioni",1966,1
"9767","Platybothrium jondoeorum",1997,1
"9768","Platybothrium kirstinae",2001,NA
"9769","Platybothrium parvum",1913,4
"9770","Platybothrium sp.",1898,NA
"9771","Platybothrium spinulifera",1997,1
"9772","Platybothrium tantulum",1911,2
"9773","Platynosomoides muris",1957,2
"9774","Platynosomum allentoshi",1938,NA
"9775","Platynosomum amazonensis",1960,3
"9776","Platynosomum arietis",1943,NA
"9777","Platynosomum fastosum",1925,12
"9778","Platynosomum iliciens",1945,NA
"9779","Platynosomum marmoseti",1960,1
"9780","Platynosomum philippinorum",1934,NA
"9781","Platynosomum sp.",1930,NA
"9782","Platynotrema lophurae",1959,NA
"9783","Platyscolex ciliata",1994,18
"9784","Plectognathotrema hydrolagi",1969,NA
"9785","Plehniella armbrusteri",2012,NA
"9786","Plehniella sabajperezi",2001,NA
"9787","Plehniella sp.",2012,NA
"9788","Pleiochorus cymbiformis",2008,NA
"9789","Pleisocreadium typicum",1930,NA
"9790","Plenosoma minimum",1957,NA
"9791","Pleorchis americanus",1904,3
"9792","Pleorchis californiensis",1940,NA
"9793","Pleorchis ghanensis",1954,2
"9794","Pleorchis polyorchis",1916,1
"9795","Pleorchis sciaenae",1978,4
"9796","Pleorchis uku",1966,3
"9797","Pleruogenoides sphaericus",1999,NA
"9798","Plerurus alectis",1964,NA
"9799","Plerurus kawakawa",1965,2
"9800","Plerurus opakapaka",1963,NA
"9801","Plerurus sphyraenae",1964,1
"9802","Plesiochorus cymbiformis",1901,5
"9803","Plesiocreadium typicum",1916,NA
"9804","Plesiorhynchus campbelli",1987,1
"9805","Plesiorhynchus etmopteri",1987,2
"9806","Pleurogenes claviger",1995,20
"9807","Pleurogenes loossi",1930,2
"9808","Pleurogenoides medians",1889,55
"9809","Pleurogenoides sp.",1998,NA
"9810","Pleurogenoides taylori",1961,NA
"9811","Pleurogenoides tener",1977,3
"9812","Pleurogonius laterouterus",1970,1
"9813","Pleurogonius linearis",1901,1
"9814","Pleurogonius longiusculus",1901,1
"9815","Pleurogonius malaclemys",1957,1
"9816","Pleurogonius minutissimus",1901,NA
"9817","Pleurogonius pomacanthi",1914,NA
"9818","Pleurogonius puertoricensis",1969,NA
"9819","Pleurogonius sp.",1914,NA
"9820","Pleurogonius trigonocephalus",1809,5
"9821","Pleuropsoloides peircei",1981,NA
"9822","Plicatobothrium cypseluri",1961,NA
"9823","Plicatobothrium sp.",1928,NA
"9824","Plicatrium visayanensis",1975,NA
"9825","Plicobothrium globicephalae",1954,4
"9826","Pliovitellaria wisconsinensis",1945,5
"9827","Pneumatophilus foliaformis",1980,NA
"9828","Pneumatophilus leidyi",1936,NA
"9829","Pneumatophilus sp.",1919,NA
"9830","Pneumatophilus tracheophilus",1947,NA
"9831","Pneumatophilus variabilis",1898,5
"9832","Pneumoatractis podicnemis",2008,NA
"9833","Pneumofilaria falciformis",1925,NA
"9834","Pneumonema tiliguae",1934,NA
"9835","Pneumonoeces breviplexus",1916,NA
"9836","Pneumonoeces complexus",1933,NA
"9837","Pneumonoeces medioplexus",1891,NA
"9838","Pneumonoeces neivai",1927,NA
"9839","Pneumonoeces parviplexus",1929,NA
"9840","Pneumonoeces similigenus",1899,NA
"9841","Pneumonoeces sp.",1916,NA
"9842","Pneumospirura bassarisci",1976,NA
"9843","Pneumostrongylus alpenae",1934,1
"9844","Pneumostrongylus tenuis",1943,NA
"9845","Podocotyle (Pedunculotrema)",1977,NA
"9846","Podocotyle abitionis",1932,NA
"9847","Podocotyle atomon",1899,89
"9848","Podocotyle bathyhelminthos",1970,NA
"9849","Podocotyle caithnessi",1951,1
"9850","Podocotyle chloroscombri",1975,1
"9851","Podocotyle etheostomae",1971,NA
"9852","Podocotyle fractum",1894,NA
"9853","Podocotyle furcata",1900,NA
"9854","Podocotyle jaffensis",1977,5
"9855","Podocotyle lanceolata",1933,1
"9856","Podocotyle musculometra",1955,1
"9857","Podocotyle olssoni",1900,1
"9858","Podocotyle parupenei",1951,NA
"9859","Podocotyle plectropomi",1951,1
"9860","Podocotyle reflexa",1981,45
"9861","Podocotyle shawi",1933,NA
"9862","Podocotyle sp.",1923,NA
"9863","Podocotyle temensis",1964,1
"9864","Podocotyle umbrinae",1977,NA
"9865","Podocotyloides brevis",2009,NA
"9866","Podocotyloides chloroscombri",1965,1
"9867","Poecilancistrium caryophyllum",1986,NA
"9868","Poecilancistrium robustum",1957,NA
"9869","Poecilorhynchus perplexus",1986,NA
"9870","Pojmanskia riosae",2001,6
"9871","Pojmanskia roisae",2001,NA
"9872","Politospiculum alcedinis",1956,NA
"9873","Politospiculum arthricola",1922,NA
"9874","Polyacanthorhynchus kenyensis",1964,4
"9875","Polyangium linguatula",1901,1
"9876","Polyclithrum boegeri",2004,1
"9877","Polyclithrum mugilini",2001,1
"9878","Polyclithrum ponticum",1998,1
"9879","Polycotyle ornata",1913,1
"9880","Polycotyle sp.",1925,NA
"9881","Polycryptocylix leonilae",1966,1
"9882","Polycyclorchis eudocimi",1970,2
"9883","Polycyclorchis sp.",1927,NA
"9884","Polydelphis (Hexametra)",1948,NA
"9885","Polydelphis anoura",1913,8
"9886","Polydelphis attenuata",1912,2
"9887","Polydelphis najae",1958,NA
"9888","Polydelphis oculata",1938,2
"9889","Polydelphis quadricornis",1920,NA
"9890","Polydelphis sewelli",1948,3
"9891","Polydelphis sp.",1923,NA
"9892","Polyekithum catahoulensis",2002,NA
"9893","Polyekithum ictaluri",2003,NA
"9894","Polygorgyra cholados",1979,1
"9895","Polylabris bengalensis",2009,NA
"9896","Polylabris carnarvonensis",1962,NA
"9897","Polylabris gerres",1969,4
"9898","Polylabris lingaoensis",2006,NA
"9899","Polylabris mamaevi",2004,1
"9900","Polylabris sigani",1962,1
"9901","Polylabris sillaginae",1962,11
"9902","Polylabris sp.",1995,NA
"9903","Polylekithum halli",1934,NA
"9904","Polylekithum ictaluri",1997,4
"9905","Polylophus jenseni",2004,NA
"9906","Polymicrocotyle manteri",1966,4
"9907","Polymorphus (Falsifilicollis)",1946,NA
"9908","Polymorphus (Profilicollis)",1893,NA
"9909","Polymorphus acutis",1944,18
"9910","Polymorphus arcticus",1949,NA
"9911","Polymorphus boschadis",1816,2
"9912","Polymorphus brevis",1988,32
"9913","Polymorphus cetaceum",1969,1
"9914","Polymorphus contortus",1980,3
"9915","Polymorphus corynosoma",1902,NA
"9916","Polymorphus kenti",1938,2
"9917","Polymorphus leonina",1962,NA
"9918","Polymorphus magnus",1997,43
"9919","Polymorphus marilis",1921,5
"9920","Polymorphus miniatus",1949,NA
"9921","Polymorphus minutus",1935,41
"9922","Polymorphus mutabilis",1902,8
"9923","Polymorphus obtusus",1898,10
"9924","Polymorphus paradoxus",1974,9
"9925","Polymorphus petrochenkoi",1955,NA
"9926","Polymorphus sp.",1886,NA
"9927","Polymorphus spindlatus",1988,5
"9928","Polymorphus striatus",1866,4
"9929","Polymorphus swartzi",1983,NA
"9930","Polymorphus trochus",1924,5
"9931","Polyonchobothrium polypteri",1988,3
"9932","Polyonchobothrium scleropagis",1975,NA
"9933","Polypocephalus helmuti",1997,NA
"9934","Polypocephalus sp.",1913,NA
"9935","Polysigma uniforme",1934,NA
"9936","Polystoma coronatum",1931,NA
"9937","Polystoma digitatum",1918,NA
"9938","Polystoma floridana",2004,NA
"9939","Polystoma floridanum",1920,1
"9940","Polystoma integerrimum",1889,17
"9941","Polystoma macrocirra",1968,NA
"9942","Polystoma macrocnemis",1996,1
"9943","Polystoma microcotyle",1931,NA
"9944","Polystoma naevius",1941,3
"9945","Polystoma nearcticum",1938,7
"9946","Polystoma nearctium",1939,NA
"9947","Polystoma nearticum",1925,NA
"9948","Polystoma oblongum",1936,NA
"9949","Polystoma orbiculare",1916,9
"9950","Polystoma ozakii",1997,2
"9951","Polystoma rhacophori",1959,2
"9952","Polystoma sp.",1916,NA
"9953","Polystoma xenopi",1942,NA
"9954","Polystomoidella oblonga",1920,6
"9955","Polystomoidella oblongum",1895,2
"9956","Polystomoidella whartoni",1935,4
"9957","Polystomoides asiaticus",1965,2
"9958","Polystomoides australiensis",1968,4
"9959","Polystomoides coronatum",1895,6
"9960","Polystomoides cyclemydis",1958,1
"9961","Polystomoides malayi",1963,2
"9962","Polystomoides multifalx",1923,NA
"9963","Polystomoides ocadiae",1959,1
"9964","Polystomoides oris",1938,1
"9965","Polystomoides pauli",1976,2
"9966","Polystomoides renschi",1965,1
"9967","Polystomoides siebenrockiellae",1964,1
"9968","Polystomoides sp.",1918,NA
"9969","Polystomoides whartoni",1930,NA
"9970","Polystomum aspidonectis",1918,NA
"9971","Polystomum sp.",1918,NA
"9972","Pomphorhynchus alpha",1937,NA
"9973","Pomphorhynchus bulbocolli",1882,80
"9974","Pomphorhynchus laevis",1916,125
"9975","Pomphorhynchus lucyae",1973,NA
"9976","Pomphorhynchus lucyi",1972,13
"9977","Pomphorhynchus rocci",1884,8
"9978","Pomphorhynchus sp.",1833,NA
"9979","Pomphorhynchus spindletruncatus",2000,2
"9980","Pomphorhynchus yamagutii",1968,1
"9981","Poracanthium ghanensis",1966,1
"9982","Porogynia paronai",1953,1
"9983","Porrocaecum (Porrocaecum)",1958,NA
"9984","Porrocaecum americanum",1923,NA
"9985","Porrocaecum angusticolle",1937,25
"9986","Porrocaecum ardeae",1924,3
"9987","Porrocaecum brevispiculum",1939,1
"9988","Porrocaecum castoris",1964,NA
"9989","Porrocaecum crassum",1964,25
"9990","Porrocaecum decipiens",1923,1
"9991","Porrocaecum depressum",1919,28
"9992","Porrocaecum encapsulatum",1924,NA
"9993","Porrocaecum ensicaudatum",1924,48
"9994","Porrocaecum leonina",1937,NA
"9995","Porrocaecum rara",1961,NA
"9996","Porrocaecum reticulatum",1929,27
"9997","Porrocaecum secundum",1934,NA
"9998","Porrocaecum semiteres",1953,31
"9999","Porrocaecum sp.",1878,NA
"10000","Porrocaecum spirale",1931,6
"10001","Porrocaecum trichiuri",1934,3
"10002","Porrocaecum wui",1961,1
"10003","Porrorchis elongatus",1961,3
"10004","Porrorchis houdemeri",1960,NA
"10005","Porrorchis hylae",1958,12
"10006","Porrorchis leibyi",1958,NA
"10007","Porrorchis tyto",2000,NA
"10008","Postharmostomum commitatum",1956,NA
"10009","Postharmostomum commutatum",1925,5
"10010","Postharmostomum gallinum",1936,20
"10011","Postharmostomum helicis",1929,2
"10012","Postharmostomum laruei",1928,NA
"10013","Postharmostomum noveboracensis",1896,1
"10014","Postharmostomum sp.",1935,NA
"10015","Posthodiplostomum boydae",1975,4
"10016","Posthodiplostomum linguaformae",1977,NA
"10017","Posthodiplostomum macrocotyle",1987,2
"10018","Posthodiplostomum minimum",1916,174
"10019","Posthodiplostomum nanum",1937,14
"10020","Posthodiplostomum opisthosicya",1990,4
"10021","Posthodiplostomum sp.",1935,NA
"10022","Posthovitellum sabahense",1960,1
"10023","Postmonorchis orthopristis",1951,2
"10024","Postodiplostomum minimum",1959,NA
"10025","Postodiplostomum sp.",1958,NA
"10026","postoncomiracidia :",2011,NA
"10027","Postorchigenes ovatus",1917,5
"10028","Postorchigenes paraguayensis",1973,NA
"10029","Postporus epinepheli",1951,8
"10030","Potamotrygonocestus chaoi",2003,1
"10031","Potamotrygonocestus marajoara",2003,NA
"10032","Potamotrygonocestus orinocoensis",1978,3
"10033","Potamotrygonocestus travassosi",1978,5
"10034","Potamotrygonocotyle aramasae",2005,NA
"10035","Potamotrygonocotyle auriculocotyle",2007,NA
"10036","Potamotrygonocotyle chisholmae",2004,NA
"10037","Potamotrygonocotyle dromedarius",2004,NA
"10038","Potamotrygonocotyle eurypotamoxenus",2004,NA
"10039","Potamotrygonocotyle quadracotyle",2005,NA
"10040","Potamotrygonocotyle rionegrense",2005,NA
"10041","Potamotrygonocotyle septemcotyle",2007,NA
"10042","Potamotrygonocotyle sp.",1978,NA
"10043","Potamotrygonocotyle tatianae",2006,NA
"10044","Potamotrygonocotyle tocantinsense",2005,NA
"10045","Potamotrygonocotyle tsalickisi",1978,1
"10046","Potamotrygonocotyle umbella",2005,NA
"10047","Potamotrygonocotyle uruguayensis",2005,NA
"10048","Poteriostomum imparidentatum",1919,5
"10049","Poteriostomum ratzii",1920,7
"10050","Poteriostomum skrjabini",1970,2
"10051","Poteriostomum sp.",1918,NA
"10052","Potorostrongylus tropicus",1893,1
"10053","Prehendorastrus bidentatus",1989,NA
"10054","Prehendorastrus monodontus",1988,NA
"10055","Preptetos parapristipomae",1996,1
"10056","Preptetos trulla",2015,12
"10057","Preptetos xesuri",1985,13
"10058","Prestwoodia delicata",1976,NA
"10059","Pretestis australianus",1964,6
"10060","Priapocephalus grandis",1920,8
"10061","Pricea multae",1974,7
"10062","Pricetrema eumetopii",1978,NA
"10063","Pricetrema phocae",1974,2
"10064","Pricetrema zalophi",1926,7
"10065","Primasubulura jacchus",1967,NA
"10066","Primisanguis caribbeanensis",2002,NA
"10067","Prionosoma serratum",1930,2
"10068","Prionosomoides taiwanensis",1960,1
"10069","Pristicola bruchi",2004,NA
"10070","Pristiorhynchus palmi",1985,NA
"10071","Pritchardia lanfrediae",2008,NA
"10072","Pritchardia marylouae",1992,NA
"10073","Proacetabulorchis dogieli",1960,NA
"10074","Proacetabulorchis prashadi",1960,3
"10075","Proalaria indistincta",1913,NA
"10076","Proalaria sp.",1933,NA
"10077","Proalaria variabilis",1891,NA
"10078","Proalarioides kobayashii",1961,1
"10079","Proatractis sp.",1984,NA
"10080","Probolitrema californiense",1986,2
"10081","Probolitrema mexicana",1953,NA
"10082","Probolitrema philippi",1951,NA
"10083","Probolocoryphe glandulosa",1952,7
"10084","Probolocoryphe uca",1986,3
"10085","Probosidasaccus enigmaticus",1954,NA
"10086","Probothriocephalus muelleri",1975,2
"10087","Probstmayria sp.",2002,NA
"10088","Probstmayria vivipara",1926,9
"10089","Probursata brasiliensis",1991,4
"10090","Probursata veraecrucis",2004,3
"10091","Procamallanus daccai",1958,2
"10092","Procamallanus desettae",2003,NA
"10093","Procamallanus glossogobii",1930,NA
"10094","Procamallanus kerri",1930,NA
"10095","Procamallanus lutjani",1962,NA
"10096","Procamallanus sigani",1960,1
"10097","Procamallanus sp.",1974,16
"10098","Procamallanus xenopodis",1926,1
"10099","Procerovum varium",1958,16
"10100","Prochristianella aetobatis",1985,1
"10101","Prochristianella butlerae",2003,2
"10102","Prochristianella cairae",2004,NA
"10103","Prochristianella clarkeae",1986,11
"10104","Prochristianella fragilis",1970,1
"10105","Prochristianella heteracantha",1970,1
"10106","Prochristianella hispida",1923,8
"10107","Prochristianella jensenae",2003,NA
"10108","Prochristianella kostadinovae",2003,NA
"10109","Prochristianella mattisi",1987,NA
"10110","Prochristianella minima",1971,2
"10111","Prochristianella mooreae",1985,3
"10112","Prochristianella multidum",1994,NA
"10113","Prochristianella odonoghuei",1986,1
"10114","Prochristianella scholzi",2002,NA
"10115","Prochristianella sp.",1906,NA
"10116","Prochristianella spinulifera",1998,2
"10117","Prochristianella tumidula",1903,1
"10118","Proctocaecum blairi",2004,NA
"10119","Proctocaecum dorsale",1986,1
"10120","Proctocaecum macroclemydis",2001,NA
"10121","Proctoeces lintoni",1951,10
"10122","Proctoeces maculatus",1975,61
"10123","Proctoeces magnorus",1992,1
"10124","Proctoeces neomagnorus",1951,NA
"10125","Proctoeces sicyases",2007,NA
"10126","Proctoeces subtenue",1903,2
"10127","Proctoeces subtenuis",1951,NA
"10128","Proctophantastes polymixiae",1963,NA
"10129","Proctotrema amphitruncatum",1966,NA
"10130","Proctotrema bacilliovatum",1977,2
"10131","Proctotrema lintoni",1928,NA
"10132","Proctotrematoides kuwaiti",1994,2
"10133","Proctotrematoides ophichthi",1966,NA
"10134","Procyonophilus panamensis",1865,1
"10135","Procyotrema marsupiformis",1941,4
"10136","Procyrnea brevicaudata",2002,NA
"10137","Procyrnea colaptes",1923,2
"10138","Procyrnea lepoptera",2008,NA
"10139","Procyrnea mansioni",2005,7
"10140","Procyrnea mawsonae",2001,NA
"10141","Procyrnea mclennanae",2001,NA
"10142","Procyrnea pileata",2002,8
"10143","Procyrnea pileatum",1998,NA
"10144","Procyrnea sp.",1890,1
"10145","Prodistomum gracile",1906,2
"10146","Prodistomum lichtenfelsi",1993,NA
"10147","Prodistomum priedei",2004,1
"10148","Proechimytrema phanerotermina",1969,NA
"10149","Proemotobothrium linstowi",1916,2
"10150","Proenenterum ericotylum",1951,2
"10151","Proenenterum isocotylum",1951,2
"10152","Profilicollis altmani",2008,2
"10153","Profilicollis botulus",1999,11
"10154","Progorgodera foliata",1974,2
"10155","Progrillotia dollfusi",1995,4
"10156","Progynotaenia odhneri",1921,4
"10157","Prohemistomulum sp.",1980,NA
"10158","Prohemistomum appendiculatoides",1933,1
"10159","Prohemistomum appendiculatum",1914,NA
"10160","Prohemistomum industrium",1915,NA
"10161","Prohyptiasmus grusi",1979,NA
"10162","Prolecithochirium pterois",1965,2
"10163","Prolecithodiplostomum cavum",2003,1
"10164","Prolecithodiplostomum constrictum",1987,3
"10165","Proleptus acutus",1969,3
"10166","Proleptus anabantis",1930,NA
"10167","Proleptus niedmanni",1978,1
"10168","Proleptus obtusus",1926,8
"10169","Proleus lutzi",1984,NA
"10170","Promicrophallus taiwanensis",1958,NA
"10171","Promonobothrium minytremi",1966,NA
"10172","Pronocephalus obliquus",1896,1
"10173","Pronoprymna petrowi",1974,10
"10174","Proparorchis artericola",1915,NA
"10175","Proparvipyrum israelense",1977,1
"10176","Propycnadenoides philipensis",1962,NA
"10177","Prosogonarium plotosi",1970,1
"10178","Prosogonotrema bilabiatum",1940,10
"10179","Prosogonotrema symmetricum",1964,1
"10180","Prosorchiopsis aluterae",1966,3
"10181","Prosorchiopsis nasonis",1965,NA
"10182","Prosorchis ghanensis",1965,1
"10183","Prosorchis hexavitellatus",1970,1
"10184","Prosorchis stromatei",1970,1
"10185","Prosorhynchoides caecorum",2005,NA
"10186","Prosorhynchoides longoviferus",2010,NA
"10187","Prosorhynchoides megacirrus",2005,NA
"10188","Prosorhynchoides ovatus",2006,NA
"10189","Prosorhynchoides paralichthydis",1999,NA
"10190","Prosorhynchoides potamoensis",2007,NA
"10191","Prosorhynchoides pusilla",1984,4
"10192","Prosorhynchoides scomberomorus",1980,NA
"10193","Prosorhynchus (Prosorhynchus)",1985,NA
"10194","Prosorhynchus (Skrjabiniella)",1985,NA
"10195","Prosorhynchus alanticus",1951,NA
"10196","Prosorhynchus apertus",1932,1
"10197","Prosorhynchus atlanticus",1975,1
"10198","Prosorhynchus attenuatus",1951,NA
"10199","Prosorhynchus berycis",1963,NA
"10200","Prosorhynchus caudovatus",1964,3
"10201","Prosorhynchus congeri",1965,NA
"10202","Prosorhynchus crucibulum",1912,29
"10203","Prosorhynchus epinepheli",1993,11
"10204","Prosorhynchus freitasi",1936,1
"10205","Prosorhynchus gracilescens",1911,NA
"10206","Prosorhynchus indicus",1969,NA
"10207","Prosorhynchus kahala",1965,1
"10208","Prosorhynchus longisaccatus",1963,NA
"10209","Prosorhynchus manteri",1994,NA
"10210","Prosorhynchus mizellei",1973,NA
"10211","Prosorhynchus pacificum",1990,NA
"10212","Prosorhynchus pacificus",1975,16
"10213","Prosorhynchus paulus",1991,NA
"10214","Prosorhynchus polydactyli",1963,NA
"10215","Prosorhynchus scalpellus",1932,1
"10216","Prosorhynchus serrani",1963,1
"10217","Prosorhynchus sp.",1952,NA
"10218","Prosorhynchus stunkardi",1951,1
"10219","Prosostephanus parvoviparus",1935,NA
"10220","Prosotocus confusus",1953,50
"10221","Prosotocus exovitellosus",1956,1
"10222","Prosotocus tener",1901,NA
"10223","Prostatomicrocotyla kuhliae",1963,NA
"10224","Prostatomicrocotyla maomao",1965,NA
"10225","Prosterrhurus labeonis",1952,NA
"10226","Prosthecosacter convolutus",1882,NA
"10227","Prosthecosacter inflexus",1882,NA
"10228","Prosthenhystera obesa",1930,32
"10229","Prosthenhystera oonastica",1968,NA
"10230","Prosthenorchis canis",1920,NA
"10231","Prosthenorchis elegans",1931,16
"10232","Prosthenorchis ingens",1925,NA
"10233","Prosthenorchis luehei",1962,NA
"10234","Prosthenorchis oligacanthus",1927,1
"10235","Prosthenorchis pachyacanthus",1932,NA
"10236","Prosthenorchis pintoi",1962,NA
"10237","Prosthenorchis sigmoides",1965,3
"10238","Prosthenorchis sp.",1920,NA
"10239","Prosthenorchis spirula",1917,NA
"10240","Prosthodendrium (Paralecithodendrium)",1932,NA
"10241","Prosthodendrium (Prosthodendrium)",1957,NA
"10242","Prosthodendrium alaskensis",1961,1
"10243","Prosthodendrium calimaense",1968,1
"10244","Prosthodendrium chilostomum",1980,30
"10245","Prosthodendrium megovarium",1975,NA
"10246","Prosthodendrium naviculum",1957,2
"10247","Prosthodendrium oligolecithum",1939,NA
"10248","Prosthodendrium postacetabulum",1983,3
"10249","Prosthodendrium pyramidum",1950,8
"10250","Prosthodendrium singularium",1932,1
"10251","Prosthodendrium thomasi",1954,3
"10252","Prosthodendrium transversum",1940,NA
"10253","Prosthogonimus cuneatus",1897,112
"10254","Prosthogonimus folliculus",1936,NA
"10255","Prosthogonimus horiuchi",1958,1
"10256","Prosthogonimus macrorchis",1933,3
"10257","Prosthogonimus malaysiae",1960,NA
"10258","Prosthogonimus ovatus",1889,166
"10259","Prosthogonimus rudolphii",1976,4
"10260","Prosthogonimus sp.",1893,NA
"10261","Prosthopycoides lynchi",1967,NA
"10262","Prosthorhynchus acanthus",1978,NA
"10263","Prosthorhynchus cylindraceum",1986,NA
"10264","Prosthorhynchus sp.",1921,3
"10265","Prosthorhynchus transversus",1931,18
"10266","Prostocus confusus",1889,NA
"10267","Protancyrocephaloides liopsettae",1975,1
"10268","Protancyrocephalus streklowi",1986,NA
"10269","Protechinostoma mucronisertulatum",1962,1
"10270","Protelloides paradoxa",1931,NA
"10271","Proteocephalus (Ophiotaenia)",1932,NA
"10272","Proteocephalus agkistrodontis",1918,1
"10273","Proteocephalus ambiguus",1985,5
"10274","Proteocephalus ambloplites",1933,NA
"10275","Proteocephalus ambloplitis",1893,1
"10276","Proteocephalus amphiumae",1930,NA
"10277","Proteocephalus anthropopitheci",1947,NA
"10278","Proteocephalus australis",1933,NA
"10279","Proteocephalus brooksi",1989,1
"10280","Proteocephalus buplanensis",1974,1
"10281","Proteocephalus californicus",1949,1
"10282","Proteocephalus caninum",1932,NA
"10283","Proteocephalus cernuae",1893,11
"10284","Proteocephalus chamelensis",1993,1
"10285","Proteocephalus chologasteri",1966,NA
"10286","Proteocephalus cobraeformis",1949,1
"10287","Proteocephalus cryptobranchi",1913,NA
"10288","Proteocephalus elongatus",1933,NA
"10289","Proteocephalus esocis",1910,2
"10290","Proteocephalus exiguus",1894,55
"10291","Proteocephalus fallax",1909,3
"10292","Proteocephalus faranciae",1930,NA
"10293","Proteocephalus filarioides",1908,NA
"10294","Proteocephalus filicollis",1911,11
"10295","Proteocephalus fluviatilis",1922,2
"10296","Proteocephalus fragile",1986,1
"10297","Proteocephalus grandis",1907,NA
"10298","Proteocephalus laruei",1915,5
"10299","Proteocephalus loennbergii",1903,NA
"10300","Proteocephalus luciopercae",1984,1
"10301","Proteocephalus macrocephalus",1889,18
"10302","Proteocephalus macrophallus",2004,4
"10303","Proteocephalus magnus",1931,NA
"10304","Proteocephalus marenzelleri",1907,1
"10305","Proteocephalus microcephalus",1949,NA
"10306","Proteocephalus microscopicus",2004,3
"10307","Proteocephalus micruricola",1980,NA
"10308","Proteocephalus neglectus",1909,24
"10309","Proteocephalus olor",1932,NA
"10310","Proteocephalus osculatus",1994,12
"10311","Proteocephalus papuensis",2002,NA
"10312","Proteocephalus parallacticus",1939,7
"10313","Proteocephalus pearsei",1893,16
"10314","Proteocephalus pearsi",1995,NA
"10315","Proteocephalus percae",1902,49
"10316","Proteocephalus perplexus",1910,3
"10317","Proteocephalus perspicua",1978,3
"10318","Proteocephalus pinguis",1904,6
"10319","Proteocephalus pollanicola",1996,3
"10320","Proteocephalus ptychocheilus",1915,4
"10321","Proteocephalus pusillus",1907,3
"10322","Proteocephalus sagittus",1965,9
"10323","Proteocephalus salmonidicola",1949,1
"10324","Proteocephalus saphena",1998,3
"10325","Proteocephalus saphenus",1930,NA
"10326","Proteocephalus scelopori",1937,NA
"10327","Proteocephalus singularis",1910,6
"10328","Proteocephalus sireni",1974,1
"10329","Proteocephalus sp.",1903,NA
"10330","Proteocephalus stizostethi",1933,3
"10331","Proteocephalus synodontis",2009,2
"10332","Proteocephalus testudo",1931,1
"10333","Proteocephalus tetrastomus",1997,6
"10334","Proteocephalus thymalli",1977,21
"10335","Proteocephalus torulosus",1904,69
"10336","Proteocephalus variabilis",1989,3
"10337","Proteocephalus wickliffi",1933,1
"10338","Proterodiplostomum breve",1989,1
"10339","Proterodiplostomum globulare",1987,1
"10340","Proterodiplostomum medusae",1987,3
"10341","Proterodiplostomum tumidilum",1986,3
"10342","Proterogynotaenia deblocki",1993,1
"10343","Proterogynotaenia marcusae",1981,1
"10344","Proterogynotaenia neoarctica",1947,NA
"10345","Proterogynotaenia paulinae",1981,1
"10346","Proterogynotaenia texanum",1979,1
"10347","Proterogynotaenia variabilis",1997,2
"10348","Proterometra ariasae",2013,NA
"10349","Proterometra autraini",1992,6
"10350","Proterometra catenaria",2014,NA
"10351","Proterometra edneyi",1971,1
"10352","Proterometra epholkos",2013,NA
"10353","Proterometra macrostoma",1932,14
"10354","Proterometra sagittaria",1944,NA
"10355","Proterometra sp.",1990,NA
"10356","Protoancylodiscoides chrysichthes",1996,2
"10357","Protocrodiplostomum ophidum",1958,NA
"10358","Protoeces hawaiiensis",1963,NA
"10359","Protofasciola robusta",1964,2
"10360","Protofilaria furcata",1924,NA
"10361","Protogynella blarinae",1943,NA
"10362","Protogynella pauciova",1950,NA
"10363","Protogynella sp.",2005,NA
"10364","Protogyrodactylus alatus",2003,NA
"10365","Protogyrodactylus ethipicus",2006,NA
"10366","Protogyrodactylus federicae",2003,NA
"10367","Protogyrodactylus kritskyi",2006,NA
"10368","Protogyrodactylus zullinii",2003,NA
"10369","Protoheterophyes spuriocirrus",1960,4
"10370","Protolamellodiscus senilobatus",1994,2
"10371","Protomicrocotyle celebensis",2002,NA
"10372","Protomicrocotyle mannarensis",1978,1
"10373","Protomicrocotyle manteri",1965,7
