"","hosts","hostclean","group"
"294","Melanitta nigra","Melanitta nigra","Aves"
"295","Oidemia americana","Oidemia americana",NA
"296","Phalaropus tricolor","Phalaropus tricolor","Aves"
"297","Recurvirostra americana","Recurvirostra americana","Aves"
"298","Steganopus tricolor","Phalaropus tricolor","Aves"
"299","Enhydra lutris","Enhydra lutris","Mammalia"
"300","Hippoglossus stenolepis","Hippoglossus stenolepis","Teleostei"
"301","Turdus merula","Turdus merula","Aves"
"302","Acipenser sturio","Acipenser sturio","Chondrostei"
"303","Boreogadus saida","Boreogadus saida","Teleostei"
"304","Clupea harengus","Clupea harengus","Teleostei"
"305","Ctenolabrus rupestris","Ctenolabrus rupestris","Teleostei"
"306","Cystophora cristata","Cystophora cristata","Mammalia"
"307","Dasycottus setiger","Dasycottus setiger","Teleostei"
"308","Delphinapterus leucas","Delphinapterus leucas","Mammalia"
"309","Erignathus barbatus","Erignathus barbatus","Mammalia"
"310","Eschrichtius gibbosus","Eschrichtius robustus","Mammalia"
"311","Halichoerus grypus","Halichoerus grypus","Mammalia"
"312","Hippoglossoides platessoides","Hippoglossoides platessoides","Teleostei"
"313","Lycodes raridens","Lycodes raridens","Teleostei"
"314","Mustela vison","Mustela vison","Mammalia"
"315","Myoxocephalus quadricornis","Myoxocephalus quadricornis","Teleostei"
"316","Myoxocephalus scorpius","Myoxocephalus scorpius","Teleostei"
"317","Odobenus rosmarus","Odobenus rosmarus","Mammalia"
"318","Phoca fasciata","Histriophoca fasciata","Mammalia"
"319","Phoca groenlandica","Pagophilus groenlandicus","Mammalia"
"320","Phoca largha","Phoca largha","Mammalia"
"321","Phoca vitulina","Phoca largha","Mammalia"
"322","Phocoena phocaena","Phocoena phocaena",NA
"323","Pseudopleuronectes americanus","Pseudopleuronectes americanus","Teleostei"
"324","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Teleostei"
"325","Salmo salar","Salmo salar","Teleostei"
"326","Zoarces viviparus","Zoarces viviparus","Teleostei"
"327","Acipenser transmontanus","Acipenser transmontanus","Chondrostei"
"328","Alosa brashnikovi","Alosa braschnikowi","Teleostei"
"329","Alosa kessleri","Alosa kessleri","Teleostei"
"330","Atheresthes stomias","Atheresthes stomias","Teleostei"
"331","Chalcalburnus chalcoides","Chalcalburnus chalcoides",NA
"332","Crocidura leucodon","Crocidura leucodon","Mammalia"
"333","Delphinus delphis","Delphinus delphis","Mammalia"
"334","Eleginus navaga","Eleginus nawaga","Teleostei"
"335","Eopsetta jordani","Eopsetta jordani","Teleostei"
"336","Felis catus","Felis catus","Mammalia"
"337","Gadus macrocephalus","Gadus macrocephalus","Teleostei"
"338","Gavia arctica","Gavia arctica","Aves"
"339","Gavia pacifica","Gavia pacifica","Aves"
"340","Gobius fluviatilis","Neogobius fluviatilis","Teleostei"
"341","Gymnocanthus galeatus","Gymnocanthus galeatus","Teleostei"
"342","Hoplobrotula gnathopus","Hoplobrotula gnathopus","Teleostei"
"343","Huso huso","Huso huso","Chondrostei"
"344","Hypomesus pretiosus","Hypomesus pretiosus","Teleostei"
"345","Larus argentatus","Larus argentatus","Aves"
"346","Larus glaucescens","Larus glaucescens","Aves"
"347","Larus hyperboreus","Larus hyperboreus","Aves"
"348","Lepidopsetta bilineata","Lepidopsetta bilineata","Teleostei"
"349","Lophius piscatorius","Lophius piscatorius","Teleostei"
"350","Lutra canadensis","Lontra canadensis","Mammalia"
"351","Macruronus novaezelandiae","Macruronus novaezelandiae","Teleostei"
"352","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Teleostei"
"353","Merluccius capensis","Merluccius capensis","Teleostei"
"354","Monoporeia affinis","Monoporeia affinis","Malacostraca"
"355","Mugil auratus","Liza aurata","Teleostei"
"356","Mugil saliens","Liza saliens","Teleostei"
"357","Natrix tesselata","Natrix tesselata",NA
"358","Neogobius kessleri","Neogobius kessleri","Teleostei"
"359","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Teleostei"
"360","Pagrus pagrus","Pagrus pagrus","Teleostei"
"361","Phalacrocorax pelagicus","Phalacrocorax pelagicus","Aves"
"362","Physeter catodon","Physeter macrocephalus","Mammalia"
"363","Physeter macrocephalus","Physeter macrocephalus","Mammalia"
"364","Platichthys stellatus","Platichthys stellatus","Teleostei"
"365","Salvelinus leucomaenis","Salvelinus leucomaenis","Teleostei"
"366","Sebastes mentella","Sebastes mentella","Teleostei"
"367","Somateria mollissima","Somateria mollissima","Aves"
"368","Sparus heterodus","Sparus heterodus",NA
"369","Sphyraena barracuda","Sphyraena barracuda","Teleostei"
"370","Spirinchus lanceolatus","Spirinchus lanceolatus","Teleostei"
"371","Theragra chalcogramma","Gadus chalcogrammus","Teleostei"
"372","Trachurus trachurus","Trachurus trachurus","Teleostei"
"373","Trigla capensis","Chelidonichthys capensis","Teleostei"
"374","Uria lomvia","Uria lomvia","Aves"
"375","Vulpes vulpes","Vulpes vulpes","Mammalia"
"376","Siganus canaliculatus","Siganus canaliculatus","Teleostei"
"377","Siganus oramin","Siganus oramin","Teleostei"
"378","Pomadasys crocro","Pomadasys crocro","Teleostei"
"379","Acipenser oxyrhynchus","Acipenser oxyrinchus","Chondrostei"
"380","Archosargus probatocephalus","Archosargus probatocephalus","Teleostei"
"381","Bairdiella chrysura","Bairdiella chrysura",NA
"382","Cestreus regalis","Cestreus regalis",NA
"383","Corophium lacustra","Corophium lacustra",NA
